distance,position,headingChange
0,-180,-1.3105072582675334E-15
0,-144,43.44827586206849
0,-108,75.48387096774134
0,-72,104.516129032257
0,-36,136.55172413792937
0,0,-1.2467360477330717E-14
0,36,-136.55172413793127
0,72,-104.51612903225771
0,108,-75.4838709677409
0,144,-43.448275862067895
0,180,-1.3105072582675334E-15
10,-180,-1.3313130181146285E-15
10,-144,43.44827586206849
10,-108,75.48387096774134
10,-72,104.516129032257
10,-36,136.55172413792937
10,0,-5.168804848350279E-15
10,36,-136.55172413793127
10,72,-104.51612903225771
10,108,-75.4838709677409
10,144,-43.448275862067895
10,180,-1.3313130181146285E-15
20,-180,-1.397880373108294E-15
20,-144,44.30784811550945
20,-108,75.48387096774134
20,-72,104.516129032257
20,-36,110.01848229826352
20,0,1.6350403322866286E-14
20,36,-110.01848229826484
20,72,-104.51612903225771
20,108,-75.4838709677409
20,144,-44.30784811550896
20,180,-1.397880373108294E-15
30,-180,-3.539135288908783E-14
30,-144,47.57535596560938
30,-108,75.48387096774134
30,-72,89.99999999999882
30,-36,91.2029209892277
30,0,-4.7453348787656793E-14
30,36,-91.2029209892272
30,72,-89.99999999999898
30,108,-75.4838709677409
30,144,-47.575355965608836
30,180,-3.539135288908783E-14
40,-180,-1.2733795499523586E-14
40,-144,43.44827586206849
40,-108,68.82352941176431
40,-72,77.05479452054689
40,-36,77.05479452054689
40,0,4.296155268269911E-14
40,36,-77.05479452054672
40,72,-77.05479452054672
40,108,-68.82352941176332
40,144,-43.448275862067895
40,180,-1.2733795499523586E-14
50,-180,-1.3105072582675334E-15
50,-144,41.99999999999959
50,-108,64.4316218181809
50,-72,64.4316218181809
50,-36,64.4316218181809
50,0,3.77227138415039E-14
50,36,-64.43162181818087
50,72,-64.43162181818087
50,108,-64.43162181818087
50,144,-41.99999999999917
50,180,-1.3105072582675334E-15
60,-180,-1.3105072582675334E-15
60,-144,41.99999999999959
60,-108,49.499711999999114
60,-72,49.499711999999114
60,-36,49.499711999999114
60,0,3.540871299871182E-16
60,36,-49.499711999999086
60,72,-49.499711999999086
60,108,-49.499711999999086
60,144,-41.99999999999917
60,180,-1.3105072582675334E-15
70,-180,-1.3105072582675334E-15
70,-144,28.7497599999994
70,-108,28.7497599999994
70,-72,28.7497599999994
70,-36,28.7497599999994
70,0,-4.3044678932346996E-15
70,36,-28.7497599999994
70,72,-28.7497599999994
70,108,-28.7497599999994
70,144,-28.7497599999994
70,180,-1.3105072582675334E-15
80,-180,-1.3105072582675334E-15
80,-144,-1.3105072582675334E-15
80,-108,-1.3105072582675334E-15
80,-72,-1.3105072582675334E-15
80,-36,-1.3105072582675334E-15
80,0,-1.3105072582675334E-15
80,36,-1.3105072582675334E-15
80,72,-1.3105072582675334E-15
80,108,-1.3105072582675334E-15
80,144,-1.3105072582675334E-15
80,180,-1.3105072582675334E-15
90,-180,-1.3105072582675334E-15
90,-144,-1.3105072582675334E-15
90,-108,-1.3105072582675334E-15
90,-72,-1.3105072582675334E-15
90,-36,-1.3105072582675334E-15
90,0,-1.3105072582675334E-15
90,36,-1.3105072582675334E-15
90,72,-1.3105072582675334E-15
90,108,-1.3105072582675334E-15
90,144,-1.3105072582675334E-15
90,180,-1.3105072582675334E-15
100,-180,-1.3105072582675334E-15
100,-144,-1.3105072582675334E-15
100,-108,-1.3105072582675334E-15
100,-72,-1.3105072582675334E-15
100,-36,-1.3105072582675334E-15
100,0,-1.3105072582675334E-15
100,36,-1.3105072582675334E-15
100,72,-1.3105072582675334E-15
100,108,-1.3105072582675334E-15
100,144,-1.3105072582675334E-15
100,180,-1.3105072582675334E-15